All,සියලුම
"Clear my shopping cart","මගේ සාප්පු කරත්තය හිස් කරන්න"
"Add selections to my cart","මගේ කරත්තයට තේරීම් එක් කරන්න"
Cancel,"අවලංගු කරන්න"
"Shopping Cart for %1 in %2","%2න් %1 සඳහා සාප්පු කරත්තය"
"Select products you want to buy","ඔබට මිලදී ගැනීමට අවශ්‍ය නිෂ්පාදන තෝරන්න"
Product,නිෂ්පාදන
Price,මිල
Quantity,ප්රමාණය
"Products in the Comparison List (%1)","සංසන්දනාත්මක ලැයිස්තුවේ නිෂ්පාදන (%1)"
"Last ordered items (%1)","අවසන් වරට ඇණවුම් කළ අයිතම (%1)"
Products,නිෂ්පාදන
ID,හැඳුනුම්පත
SKU,කේතය
"Recently Compared Products (%1)","මෑතකදී සසඳන ලද නිෂ්පාදන (%1)"
"Recently Viewed Products (%1)","මෑතකදී බැලූ නිෂ්පාදන (%1)"
"Add to Shopping Cart by SKU","SKU මගින් Shopping Cart වෙත එක් කරන්න"
"Add to Shopping Cart","සාප්පු කරත්තයට එකතු කරන්න"
"Wish List (%1)","පැතුම් ලැයිස්තුව (%1)"
Apply,"අයදුම් කරන්න"
Configure,"වින්‍යාස කරන්න"
"Add to Order by SKU","SKU මගින් ඇණවුමට එක් කරන්න"
"Add to Order","ඇණවුමට එකතු කරන්න"
"Add Products to Order","ඇණවුමට නිෂ්පාදන එකතු කරන්න"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> නිෂ්පාදන(ය) අවධානය අවශ්‍ය වේ.</span>"
"Remove All","සියල්ල ඉවත් කරන්න"
"Only %1%2%3 left in stock","තොගයේ ඉතිරිව ඇත්තේ %1%2%3 ක් පමණි"
"You can buy up to %1 of these per purchase.","ඔබට එක් මිලදී ගැනීමකට මේවායින් %1 ක් දක්වා මිලදී ගත හැක."
"You must buy at least %1 of these per purchase.","ඔබ එක් මිලදී ගැනීමකට අවම වශයෙන් මේවායින් %1 ක් මිලදී ගත යුතුය."
"Specify the product's options.","නිෂ්පාදනයේ විකල්ප සඳහන් කරන්න."
"Alert me when this item is available.","මෙම අයිතමය තිබෙන විට මට දැනුම් දෙන්න."
"This customer couldn't be found. Verify the customer and try again.","මෙම පාරිභෝගිකයා සොයාගත නොහැකි විය. පාරිභෝගිකයා තහවුරු කර නැවත උත්සාහ කරන්න."
"Shopping cart management is disabled for this customer.","මෙම පාරිභෝගිකයා සඳහා සාප්පු කරත්ත කළමනාකරණය අබල කර ඇත."
"This store couldn't be found. Verify the store and try again.","මෙම ගබඩාව සොයාගත නොහැකි විය. ගබඩාව තහවුරු කර නැවත උත්සාහ කරන්න."
Customers,පාරිභෝගිකයන්
"Shopping Cart","සාප්පු ට්රොලිය"
"An error occurred. For details, see the error log.","දෝෂයක් සිදු විය. විස්තර සඳහා, දෝෂ ලොගය බලන්න."
"You do not have access to this.","ඔබට මෙයට ප්‍රවේශය නැත."
"The ordered item needs to be loaded. Load the item and try again.","ඇණවුම් කළ අයිතමය පූරණය කළ යුතුය. අයිතමය පූරණය කර නැවත උත්සාහ කරන්න."
"The quote item ID needs to be received. Set the ID and try again.","උද්ධෘත අයිතම හැඳුනුම්පත ලැබිය යුතුය. හැඳුනුම්පත සකසා නැවත උත්සාහ කරන්න."
"The quote item needs to be loaded. Load the item and try again.","උද්ධෘත අයිතමය පූරණය කළ යුතුය. අයිතමය පූරණය කර නැවත උත්සාහ කරන්න."
"The wish list item ID needs to be received. Set the ID and try again.","කැමති ලැයිස්තු අයිතම හැඳුනුම්පත ලැබිය යුතුය. හැඳුනුම්පත සකසා නැවත උත්සාහ කරන්න."
"The wish list item needs to be loaded. Load the item and try again.","පැතුම් ලැයිස්තු අයිතමය පූරණය කළ යුතුය. අයිතමය පූරණය කර නැවත උත්සාහ කරන්න."
"An error has occurred. See error log for details.","දෝෂයක් සිදුවී ඇත. විස්තර සඳහා දෝෂ ලොගය බලන්න."
"You cannot configure a product.","ඔබට නිෂ්පාදනයක් වින්‍යාස කළ නොහැක."
"You removed the items.","ඔබ අයිතම ඉවත් කර ඇත."
"You removed the item.","ඔබ අයිතමය ඉවත් කළා."
"You added %1 to your shopping cart.","ඔබ ඔබේ සාප්පු කරත්තයට %1 එකතු කළා."
"You cannot add a product.","ඔබට නිෂ්පාදනයක් එකතු කළ නොහැක."
"Order by SKU","SKU විසින් ඇණවුම් කරන්න"
"The SKU was not found in the catalog.","නාමාවලියෙහි SKU හමු නොවීය."
"Availability: Out of stock.","ලබා ගත හැකි: තොග අවසන්."
"We don't have as many of these as you want.","ඔබට අවශ්‍ය තරම් මේවා අප සතුව නොමැත."
"You can't add this many to your cart.","ඔබට ඔබේ කරත්තයට මෙතරම් එකතු කළ නොහැක."
"You need to choose options for your item.","ඔබ ඔබේ අයිතමය සඳහා විකල්ප තෝරාගත යුතුය."
"We can't add the item to your cart.","අපට ඔබේ කරත්තයට අයිතමය එක් කළ නොහැක."
"Please enter an actual number in the ""Qty"" field.","කරුණාකර ""Qty"" ක්ෂේත්‍රයේ සත්‍ය අංකයක් ඇතුළු කරන්න."
"This product is assigned to another website.","මෙම නිෂ්පාදනය වෙනත් වෙබ් අඩවියකට පවරා ඇත."
"You can add only enabled products.","ඔබට එකතු කළ හැක්කේ සක්‍රීය නිෂ්පාදන පමණි."
"You cannot upload this file.","ඔබට මෙම ගොනුව උඩුගත කළ නොහැක."
"The file is empty.","ගොනුව හිස් ය."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","ඔබ නිෂ්පාදන SKU ඇතුළු කර නැත. කරුණාකර <a href=""%1"">ක්ලික් කරන්න</a> SKU මගින් නිෂ්පාදන(ය) එක් කිරීමට."
"You have not entered a product SKU.","ඔබ නිෂ්පාදන SKU ඇතුළු කර නැත."
"We can't add a product to cart by id ""%1"".","අපට ""%1"" හැඳුනුම්පත මගින් කරත්තයට නිෂ්පාදනයක් එක් කළ නොහැක."
"Something went wrong while reordering this product.","මෙම නිෂ්පාදනය නැවත ඇණවුම් කිරීමේදී යම් දෙයක් වැරදී ඇත."
"We can't find this wish list.","අපට මෙම පැතුම් ලැයිස්තුව සොයාගත නොහැක."
"You added %1 product to your shopping cart.","ඔබ ඔබේ සාප්පු කරත්තයට නිෂ්පාදන %1 ක් එක් කළා."
"You added %1 products to your shopping cart.","ඔබ ඔබේ සාප්පු කරත්තයට නිෂ්පාදන %1 ක් එක් කළා."
"%1 product requires your attention.","%1 නිෂ්පාදනයට ඔබේ අවධානය අවශ්‍යයි."
"%1 products require your attention.","නිෂ්පාදන %1 ක් ගැන ඔබේ අවධානය අවශ්‍යයි."
"Yes, for Specified Customer Groups","ඔව්, නිශ්චිත පාරිභෝගික කණ්ඩායම් සඳහා"
"Yes, for Everyone","ඔව්, සෑම කෙනෙකුටම"
No,නැත
"The file is corrupt and can't be used.","ගොනුව දූෂිත වන අතර එය භාවිතා කළ නොහැක."
"Please upload the file in .csv format.","කරුණාකර ගොනුව .csv ආකෘතියෙන් උඩුගත කරන්න."
"%1 item(s) need your attention.","%1 අයිතම(ය) ගැන ඔබේ අවධානය අවශ්‍යයි."
"Apply Coupon Code","කූපන් කේතය යොදන්න"
"Remove Coupon Code","කූපන් කේතය ඉවත් කරන්න"
"The coupon code ""%1"" is not valid.","කූපන් කේතය ""%1"" වලංගු නැත."
"Shopping Cart Items","සාප්පු කරත්ත අයිතම"
Qty,ප්‍රමාණය
Subtotal,"උප එකතුව"
Discount,වට්ටම්
"Row Subtotal","පේළි උප එකතුව"
Action,කටයුතු
"No ordered items","ඇණවුම් කළ අයිතම නොමැත"
"Total %1 product(s)","මුළු නිෂ්පාදන (ය) %1"
Subtotal:,"උප එකතුව:"
"Please select","කරුණාකර තෝරන්න"
"Move to Wish List","අවශ්ය ලැයිස්තු වෙත ගෙන යන්න"
"No item specified.","අයිතමයක් සඳහන් කර නැත."
"Are you sure you want to remove this item?","ඔබට මෙම අයිතමය ඉවත් කිරීමට අවශ්‍ය බව විශ්වාසද?"
"SKU number","SKU අංකය"
"Upload File","ගොනුව උඩුගත කරන්න"
"Your csv file must include ""sku"" and ""qty"" columns.","ඔබේ csv ගොනුවේ ""sku"" සහ ""qty"" තීරු ඇතුළත් විය යුතුය."
Reset,"යළි පිහිටුවන්න"
"SKU: ","කේතය: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","තොගයේ ඇත්තේ <span id=""%1_max_allowed"">%2</span> ක් පමණි"
Item,අයිතමය
"See price before order confirmation.","ඇණවුම තහවුරු කිරීමට පෙර මිල බලන්න."
"What's this?","මෙය කුමක් ද?"
"Incl. Tax","ඇතුළු. බද්ද"
"Excl. Tax","හැර. බද්ද"
"Edit item parameters","අයිතම පරාමිතීන් සංස්කරණය කරන්න"
Edit,"සංස්කරණය කරන්න"
"Remove item","අයිතමය ඉවත් කරන්න"
"Products Requiring Attention","අවධානය යොමු කළ යුතු නිෂ්පාදන"
"Add to Cart","ගැලට එක් කරන්න"
Sku,ස්කු
File,ගොනුව
"File extensions allowed: .csv","ගොනු දිගු සඳහා අවසර දී ඇත: .csv"
"Add Row","පේළිය එක් කරන්න"
"Remove Row","පේළිය ඉවත් කරන්න"
"Add Products By SKU","SKU මගින් නිෂ්පාදන එකතු කරන්න"
"Shopping Cart Management","සාප්පු කරත්ත කළමනාකරණය"
"View Shopping Cart","සාප්පු කරත්තය බලන්න"
"View and modify Shopping Cart","සාප්පු කරත්තය බලන්න සහ වෙනස් කරන්න"
"Order by SKU Settings","SKU සිටුවම් මගින් ඇණවුම් කරන්න"
"Enable Order by SKU on My Account in Storefront","වෙළඳසැල් ඉදිරිපිට ඇති මගේ ගිණුමේ SKU මගින් ඇණවුම සබල කරන්න"
"Customer Groups","පාරිභෝගික කණ්ඩායම්"
"Apply Coupon","කූපනය යොදන්න"
"Order by SKU Description","SKU විස්තරය අනුව ඇණවුම් කරන්න"
"Display a Link to Loading a Spreadsheet","පැතුරුම්පතක් පූරණය කිරීමට සබැඳියක් පෙන්වන්න"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","SKU පිටුවෙන් මගේ ගිණුම &gt; ඇණවුම වෙත සබැඳියක් විජට් එකෙහි දර්ශනය වන්නේද යන්න නිර්වචනය කරයි"
"Link Text","සබැඳි පෙළ"
"The text of the link to the My Account &gt; Order by SKU page","SKU පිටුවෙන් මගේ ගිණුම &gt; ඇණවුම වෙත සබැඳියේ පෙළ"
"Load a list of SKUs","SKU ලැයිස්තුවක් පූරණය කරන්න"
"Order by SKU Template","SKU ආකෘතියෙන් ඇණවුම් කරන්න"
"Please correct the data sent.","කරුණාකර යවන ලද දත්ත නිවැරදි කරන්න."
"Entity type model '%1' is not found","ධාතු වර්ගයේ ආකෘතිය '%1' හමු නොවේ"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","ආයතන වර්ගයේ ආකෘතිය \Magento\CatalogImportExport\Model\Export\Product\Type\Abstract Type හි උදාහරණයක් විය යුතුය."
"There are no product types available for export","අපනයනය සඳහා ලබා ගත හැකි නිෂ්පාදන වර්ග නොමැත"
"Related Search Terms","අදාළ සෙවුම් නියමයන්"
"Add New Search Term","නව සෙවුම් පදයක් එක් කරන්න"
button_label,බොත්තම_ලේබලය
"Missing search engine parameter.","සෙවුම් යන්ත්‍ර පරාමිතිය අතුරුදහන්."
"Successful! Test again?","සාර්ථක! නැවත පරීක්ෂා කරන්න?"
"Connection failed! Test again?","සම්බන්ධතාවය අසාර්ථක විය! නැවත පරීක්ෂා කරන්න?"
"Enable Search Recommendations","සෙවුම් නිර්දේශ සබල කරන්න"
"When you enable this option your site may slow down.","ඔබ මෙම විකල්පය සක්‍රීය කළ විට ඔබේ වෙබ් අඩවිය මන්දගාමී විය හැක."
"Search Recommendations Count","සෙවුම් නිර්දේශ ගණන"
"Show Results Count for Each Recommendation","එක් එක් නිර්දේශ සඳහා ප්‍රතිඵල ගණන පෙන්වන්න"
"Enable Search Suggestions","සෙවුම් යෝජනා සබල කරන්න"
"Search Suggestions Count","සෙවුම් යෝජනා ගණන"
"Show Results Count for Each Suggestion","එක් එක් යෝජනාව සඳහා ප්‍රතිඵල ගණන පෙන්වන්න"
"Related search terms","අදාළ සෙවුම් පද"
"Did you mean","ඔයා අදහස් කලේ"
"Search Query","සෙවුම් විමසුම"
Store,"ගබඩා කරන්න"
Results,ප්රතිපල
Uses,"භාවිතා කරයි"
"Redirect URL","හරවා යවන්න URL"
"Suggested Term","යෝජිත කාල සීමාව"
Yes,ඔව්
"Subscription status","දායකත්ව තත්ත්වය"
"Sorry, there has been an error processing your request. Please try again later.","සමාවන්න, ඔබගේ ඉල්ලීම සැකසීමේදී දෝෂයක් සිදුවී ඇත. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"The time value is using an unsupported format. Enter a supported format and try again.","කාල අගය සහාය නොදක්වන ආකෘතියක් භාවිතා කරයි. සහාය දක්වන ආකෘතියක් ඇතුළු කර නැවත උත්සාහ කරන්න."
"Cron settings can't be saved","Cron සැකසුම් සුරැකිය නොහැක"
"There was an error save new configuration value.","නව වින්‍යාස අගය සුරැකීමේ දෝෂයක් ඇති විය."
"Please select an industry.","කරුණාකර කර්මාන්තයක් තෝරන්න."
"--Please Select--","--කරුණාකර තෝරන්න--"
"Command ""%1"" was not found.","""%1"" විධානය හමු නොවීය."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","දත්ත වලංගු නැත. දත්ත තන්තුවක් ලෙස හෝ තන්තුවක් බවට පරිවර්තනය කළ හැකි දත්ත ඇතුළත් කර නැවත උත්සාහ කරන්න."
"The data is invalid. Enter the data as a string and try again.","දත්ත වලංගු නැත. තන්තුවක් ලෙස දත්ත ඇතුලත් කර නැවත උත්සාහ කරන්න."
"The data is invalid. Use a valid cipher method and try again.","දත්ත වලංගු නැත. වලංගු කේතාංක ක්‍රමයක් භාවිතා කර නැවත උත්සාහ කරන්න."
"Enter the encryption key and try again.","සංකේතාංකන යතුර ඇතුළත් කර නැවත උත්සාහ කරන්න."
"The ""%1"" source doesn't exist.","""%1"" මූලාශ්‍රය නොපවතී."
"These arguments can't be empty ""%1""","මෙම තර්ක හිස් විය නොහැක ""%1"""
"Cannot find predefined integration user!","පූර්ව නිශ්චිත ඒකාබද්ධ පරිශීලක සොයා ගත නොහැක!"
"File is not ready yet.","ගොනුව තවමත් සූදානම් නැත."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","ඔබගේ මූලික URL වෙනස් කර ඇති අතර ඔබගේ වාර්තා යාවත්කාලීන වෙමින් පවතී. මෙම වෙනස සැකසූ පසු උසස් වාර්තාකරණය ලබා ගත හැකි වනු ඇත. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"Failed to synchronize data to the Magento Business Intelligence service. ","Magento Business Intelligence සේවාව වෙත දත්ත සමමුහුර්ත කිරීමට අසමත් විය. "
"Retry Synchronization","සමමුහුර්තකරණය නැවත උත්සාහ කරන්න"
TestMessage,"පරීක්ෂණ පණිවිඩය"
"Apps and Games","යෙදුම් සහ ක්‍රීඩා"
"Athletic/Sporting Goods","මලල ක්‍රීඩා/ක්‍රීඩා භාණ්ඩ"
"Art and Design","කලාව සහ නිර්මාණ"
"Advanced Reporting","උසස් වාර්තාකරණය"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","අපගේ ගතික නිෂ්පාදන, ඇණවුම, සහ ඔබේ පාරිභෝගික දත්තවලට අනුව සකස් කරන ලද පාරිභෝගික වාර්තා භාවිතා කරමින් නව අවබෝධයක් ලබාගෙන ඔබේ ව්‍යාපාරයේ කාර්ය සාධනය පිළිබඳ විධානයක් ලබා ගන්න."
"Go to Advanced Reporting","උසස් වාර්තාකරණය වෙත යන්න"
Analytics,විශ්ලේෂණ
Configuration,මානකරනය
"Business Intelligence","ව්යාපාර බුද්ධිය"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","මෙම සේවාව ඔබේ ව්‍යාපාරය පිළිබඳ පොහොසත් අවබෝධයක් සහිත ගතික වාර්තා කට්ටලයක් සපයයි.

                ""උසස් වාර්තාකරණය වෙත යන්න"" සබැඳිය ක්ලික් කිරීමෙන් පරිපාලක පැනලයෙන් පිටත පුද්ගලාරෝපිත උපකරණ පුවරුවකට ඔබගේ වාර්තා ආරක්ෂිතව ප්‍රවේශ විය හැක. </br> වැඩි විස්තර සඳහා, අපගේ <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
                නියමයන් සහ කොන්දේසි</a>බලන්න."
"Advanced Reporting Service","උසස් වාර්තාකරණ සේවාව"
"Time of day to send data","දත්ත යැවීමට දවසේ වේලාව"
"Industry Data","කර්මාන්ත දත්ත"
Industry,කර්මාන්ත
"In order to personalize your Advanced Reporting experience, please select your industry.","ඔබේ උසස් වාර්තාකරණ අත්දැකීම පුද්ගලීකරණය කිරීම සඳහා, කරුණාකර ඔබේ කර්මාන්තය තෝරන්න."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Magento Business Intelligence</strong>වෙතින් තවත් අවබෝධයක් ලබා ගන්න"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence මඟින් ඔබට
                    වැඩි දත්තයක් බවට පත් වීමට සරල සහ පැහැදිලි මාර්ගයක් සපයයි.</br> Magento BI Essentials සහ BI Pro</a> ස්ථර <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">ගැන තව දැන ගන්න."
"Auto Parts","වාහන අමතර කොටස්"
"Baby/Children’s Apparel, Gear and Toys","ළදරු/ළමා ඇඳුම්, ආම්පන්න සහ සෙල්ලම් බඩු"
"Beauty and Cosmetics","රූපලාවන්‍ය සහ ආලේපන"
"Books, Music and Magazines","පොත්, සංගීතය සහ සඟරා"
"Crafts and Stationery","අත්කම් සහ ලිපි ද්රව්ය"
"Consumer Electronics","පාරිභෝගික ඉලෙක්ට්රොනික උපකරණ"
"Deal Site","ගනුදෙනු අඩවිය"
"Fashion Apparel and Accessories","විලාසිතා ඇඟලුම් සහ උපාංග"
"Food, Beverage and Grocery","ආහාර, බීම සහ සිල්ලර බඩු"
"Home Goods and Furniture","ගෘහ භාණ්ඩ සහ ගෘහ භාණ්ඩ"
"Home Improvement","නිවාස වැඩිදියුණු කිරීම"
"Jewelry and Watches","ස්වර්ණාභරණ සහ ඔරලෝසු"
"Mass Merchant","මහා වෙළෙන්දා"
"Office Supplies","කාර්යාල සැපයුම්"
"Outdoor and Camping Gear","එළිමහන් සහ කඳවුරු ආම්පන්න"
"Pet Goods","සුරතල් භාණ්ඩ"
"Pharma and Medical Devices","ඖෂධ සහ වෛද්ය උපකරණ"
"Technology B2B","තාක්ෂණය B2B"
Other,වෙනත්
Done,කළා
Retry,"නැවත උත්සාහ කරන්න"
"'Action Details - #' .","'ක්‍රියා විස්තර - #' ."
"%1 item(s) have been scheduled for update.""","%1 අයිතම(ය) යාවත්කාලීන කිරීම සඳහා කාලසටහන්ගත කර ඇත."""
"Bulk Actions Log","තොග ක්‍රියා ලොගය"
"Bulk uuid %bulkUuid not exist","තොග uuid %bulkUuid නොපවතී"
"Topic %1","මාතෘකාව %1"
"Something went wrong while processing the request.","ඉල්ලීම සකසන අතරතුර යම් දෙයක් වැරදී ඇත."
"Error processing %key element of input data","ආදාන දත්තවල %ප්‍රධාන අංගය සැකසීමේ දෝෂයකි"
"Sorry, something went wrong during product prices update. Please see log for details.","සමාවන්න, නිෂ්පාදන මිල යාවත්කාලීන කිරීමේදී යමක් වැරදී ඇත. විස්තර සඳහා කරුණාකර ලොගය බලන්න."
"%1 item(s) are currently being updated.","%1 අයිතම(ය) දැනට යාවත්කාලීන වෙමින් පවතී."
"Task ""%1"": ","කාර්යය ""%1"": "
"%1 item(s) have been scheduled for update.","%1 අයිතම(ය) යාවත්කාලීන කිරීම සඳහා කාලසටහන්ගත කර ඇත."
